Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter
17,1908,P,Mordecai Brown,31,46,129,121,5,25,0,0,0,4,2,0,2,20,0.207,0.22,0.207,0.426,33,25,0,0,5,0,0,Right,Yes
18,1908,P,Ed Reulbach,25,46,115,99,10,23,6,2,0,9,1,0,6,32,0.232,0.276,0.333,0.61,90,33,0,0,9,0,0,Right,No
19,1908,P,Jack Pfiester,30,33,86,79,2,8,1,0,0,2,1,0,3,30,0.101,0.134,0.114,0.248,-22,9,0,0,4,0,0,Right,No
20,1908,P,Orval Overall,27,38,85,70,3,9,1,1,0,9,1,0,5,9,0.129,0.197,0.171,0.369,16,12,0,1,8,0,0,Right,Yes
21,1908,P,Chick Fraser,34,26,57,50,3,6,1,0,0,1,1,0,2,13,0.12,0.154,0.14,0.294,-8,7,0,0,5,0,0,Right,No
22,1908,P,Carl Lundgren,28,23,55,47,2,7,0,0,0,1,0,0,0,10,0.149,0.167,0.149,0.316,-1,7,0,1,5,0,0,Right,No
23,1908,P,Andy Coakley,25,4,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
24,1908,P,Rube Kroh,21,2,5,4,0,0,0,0,0,0,0,0,1,1,0.0,0.2,0.0,0.2,-36,0,0,0,0,0,0,Left,No
25,1908,P,Bill Mack,23,2,3,3,1,2,0,1,0,0,0,0,0,1,0.667,0.667,1.333,2.0,523,4,0,0,0,0,0,Left,No
26,1908,P,Carl Spongberg,24,1,3,3,0,2,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333,317,2,0,0,0,0,0,Right,No
1,1907,C,Johnny Kling,31,104,369,334,44,95,15,8,1,43,9,0,27,16,0.284,0.342,0.386,0.728,122,129,0,2,4,0,0,Right,No
2,1907,1B,Frank Chance,30,111,453,382,58,112,19,2,1,49,35,0,51,21,0.293,0.395,0.361,0.756,131,138,0,13,5,0,0,Right,No
3,1907,2B,Johnny Evers,25,151,568,508,66,127,18,4,2,51,46,0,38,17,0.25,0.309,0.313,0.622,90,159,0,5,14,0,0,Left,No
4,1907,SS,Joe Tinker,26,117,445,402,36,89,11,3,1,36,20,0,25,31,0.221,0.269,0.271,0.54,65,109,0,1,16,0,0,Right,No
5,1907,3B,Harry Steinfeldt,31,152,616,542,52,144,25,5,1,70,19,0,37,39,0.266,0.323,0.336,0.659,101,182,0,9,25,0,0,Right,No
6,1907,OF,Jimmy Sheckard,28,143,601,484,76,129,23,1,1,36,31,0,76,53,0.267,0.373,0.324,0.697,113,157,0,6,35,0,0,Left,No
7,1907,OF,Jimmy Slagle,33,136,585,489,71,126,6,6,0,32,28,0,76,52,0.258,0.359,0.294,0.653,100,144,0,1,9,0,0,Left,No
8,1907,OF,Frank Schulte,24,97,393,342,44,98,14,7,2,32,7,0,22,38,0.287,0.339,0.386,0.725,121,132,0,5,20,0,0,Left,No
9,1907,UT,Solly Hofman,24,134,536,470,67,126,11,3,1,36,29,0,41,31,0.268,0.328,0.311,0.639,95,146,0,1,24,0,0,Right,No
10,1907,C,Pat Moran,31,65,215,198,8,45,5,1,1,19,5,0,10,19,0.227,0.271,0.278,0.549,68,55,0,2,4,0,0,Right,No
11,1907,1B,Del Howard,29,51,159,148,10,34,2,2,0,13,3,0,6,12,0.23,0.269,0.27,0.54,65,40,0,2,1,0,0,Left,No
12,1907,OF,Newt Randall,27,22,88,78,6,16,4,2,0,4,2,0,8,10,0.205,0.279,0.308,0.587,79,24,0,0,2,0,0,Right,No
13,1907,OF,Blaine Durbin,20,11,20,18,2,6,0,0,0,0,0,0,1,4,0.333,0.368,0.333,0.702,115,6,0,0,0,0,0,Left,No
14,1907,SS,Bill Sweeney,21,3,12,10,1,1,0,0,0,1,1,0,1,0,0.1,0.182,0.1,0.282,-14,1,0,0,1,0,0,Right,No
15,1907,UT,Mike Kahoe,33,5,11,10,0,4,0,0,0,1,0,0,0,0,0.4,0.4,0.4,0.8,145,4,0,0,0,0,0,Right,No
16,1907,UT,Heinie Zimmerman,20,5,9,9,0,2,1,0,0,1,0,0,0,0,0.222,0.222,0.333,0.556,70,3,0,0,0,0,0,Right,No
17,1907,C,Jack Hardy,30,1,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,53,1,0,0,0,0,0,Right,No
18,1907,P,Orval Overall,26,36,105,94,6,20,4,2,0,9,0,0,3,11,0.213,0.237,0.298,0.535,63,28,0,0,8,0,0,Right,Yes
19,1907,P,Mordecai Brown,30,36,91,85,6,13,0,2,1,7,0,0,1,17,0.153,0.163,0.235,0.398,22,20,0,0,5,0,0,Right,Yes
20,1907,P,Jack Pfiester,29,30,78,64,4,6,1,0,0,1,0,0,5,26,0.094,0.159,0.109,0.269,-18,7,0,0,8,0,0,Right,No
21,1907,P,Carl Lundgren,27,28,77,66,4,7,0,0,0,3,0,0,4,20,0.106,0.157,0.106,0.263,-19,7,0,0,7,0,0,Right,No
22,1907,P,Ed Reulbach,24,27,70,63,4,11,1,0,1,3,0,0,1,13,0.175,0.188,0.238,0.426,30,15,0,0,4,0,0,Right,No
23,1907,P,Chick Fraser,33,22,51,45,4,3,0,0,0,2,0,0,2,10,0.067,0.125,0.067,0.192,-41,3,0,1,3,0,0,Right,No
24,1907,P,Jack Taylor,33,18,48,47,2,9,2,0,0,1,0,0,0,8,0.191,0.191,0.234,0.426,30,11,0,0,0,0,0,Right,No
1,1906,C,Johnny Kling,30,107,377,343,45,107,15,8,2,46,14,0,23,30,0.312,0.357,0.42,0.777,136,144,0,1,8,0,0,Right,No
2,1906,1B,Frank Chance,29,136,577,474,103,151,24,10,3,71,57,0,70,31,0.319,0.419,0.43,0.849,158,204,0,12,18,0,0,Right,No
3,1906,2B,Johnny Evers,24,154,595,533,65,136,17,6,1,51,49,0,36,24,0.255,0.305,0.315,0.62,89,168,0,2,24,0,0,Left,No
4,1906,SS,Joe Tinker,25,148,603,523,75,122,18,4,1,64,30,0,43,43,0.233,0.293,0.289,0.581,77,151,0,1,36,0,0,Right,No
5,1906,3B,Harry Steinfeldt,30,151,625,539,81,176,27,10,3,83,29,0,47,47,0.327,0.395,0.43,0.825,151,232,0,14,25,0,0,Right,No
6,1906,OF,Jimmy Sheckard,27,149,664,549,90,144,27,10,1,45,30,0,67,69,0.262,0.349,0.353,0.702,114,194,0,6,40,0,0,Left,No
7,1906,OF,Jimmy Slagle,32,127,578,498,71,119,8,6,0,33,25,0,63,44,0.239,0.324,0.279,0.604,84,139,0,0,10,0,0,Left,No
8,1906,OF,Frank Schulte,23,146,634,563,77,158,18,13,7,60,25,0,31,46,0.281,0.324,0.396,0.72,119,223,0,5,31,0,0,Left,No
9,1906,C,Pat Moran,30,70,244,226,22,57,13,1,0,35,6,0,7,32,0.252,0.281,0.319,0.599,82,72,0,2,8,0,0,Right,No
10,1906,UT,Solly Hofman,23,64,221,195,30,50,2,3,2,20,13,0,20,11,0.256,0.326,0.328,0.654,99,64,0,0,6,0,0,Right,No
11,1906,OF,Doc Gessler,25,34,99,83,8,21,3,0,0,10,4,0,12,12,0.253,0.354,0.289,0.643,96,24,0,1,3,0,0,Left,No
12,1906,1B,Pete Noonan,24,5,4,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,103,1,0,0,0,0,0,Right,No
13,1906,C,Tom Walsh,21,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
14,1906,,Bull Smith,25,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
15,1906,P,Mordecai Brown,29,36,112,98,11,20,1,0,0,4,0,0,6,16,0.204,0.25,0.214,0.464,41,21,0,0,5,0,0,Right,Yes
16,1906,P,Jack Pfiester,28,31,92,84,5,4,0,0,0,1,0,0,3,34,0.048,0.091,0.048,0.139,-58,4,0,1,2,0,0,Right,No
17,1906,P,Ed Reulbach,23,34,91,83,4,13,0,0,0,4,0,0,2,25,0.157,0.176,0.157,0.333,1,13,0,0,6,0,0,Right,No
18,1906,P,Carl Lundgren,26,28,87,67,4,12,3,0,0,2,0,0,9,22,0.179,0.276,0.224,0.5,52,15,0,0,6,0,0,Right,No
19,1906,P,Orval Overall,25,18,59,53,6,9,1,0,0,3,1,0,2,13,0.17,0.2,0.189,0.389,18,10,0,0,3,0,0,Right,Yes
20,1906,P,Jack Taylor,32,17,57,53,5,11,3,0,0,3,0,0,4,4,0.208,0.263,0.264,0.527,60,14,0,0,0,0,0,Right,No
21,1906,P,Fred Beebe,26,14,30,29,1,3,1,0,0,3,0,0,1,6,0.103,0.133,0.138,0.271,-17,4,0,0,0,0,0,Right,No
22,1906,P,Bob Wicker,29,10,24,20,1,2,0,0,0,1,0,0,2,5,0.1,0.182,0.1,0.282,-14,2,0,0,0,0,0,Right,No
23,1906,P,Jack Harper,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No
1,1905,C,Johnny Kling,29,111,425,380,26,83,8,6,1,52,13,0,28,23,0.218,0.272,0.279,0.551,61,106,0,0,17,0,0,Right,No
2,1905,1B,Frank Chance,28,118,505,392,92,124,16,12,2,70,38,0,78,26,0.316,0.45,0.434,0.883,159,170,0,17,15,0,0,Right,No
3,1905,2B,Johnny Evers,23,99,391,340,44,94,11,2,1,37,19,0,27,20,0.276,0.333,0.329,0.663,94,112,0,2,20,0,0,Left,No
4,1905,SS,Joe Tinker,24,149,611,547,70,135,18,8,2,66,31,0,34,49,0.247,0.292,0.32,0.612,79,175,0,1,29,0,0,Right,No
5,1905,3B,James Casey,35,144,594,526,66,122,21,10,1,56,22,0,41,45,0.232,0.295,0.316,0.611,79,166,0,6,21,0,0,Right,Yes
6,1905,OF,Billy Maloney,27,145,627,558,78,145,17,14,2,56,59,0,43,84,0.26,0.325,0.351,0.676,98,196,0,11,15,0,0,Left,No
7,1905,OF,Jimmy Slagle,31,155,694,568,96,153,19,4,0,37,27,0,97,54,0.269,0.379,0.317,0.696,104,180,0,3,13,0,0,Left,No
8,1905,OF,Frank Schulte,22,123,549,493,67,135,15,14,1,47,16,0,32,39,0.274,0.326,0.367,0.693,103,181,0,6,18,0,0,Left,No
9,1905,2B,Solly Hofman,22,86,317,287,43,68,14,4,1,38,15,0,20,26,0.237,0.289,0.324,0.613,79,93,0,1,8,0,0,Right,No
10,1905,C,Jack O'Neill,32,53,198,172,16,34,4,2,0,12,6,0,8,23,0.198,0.277,0.244,0.522,53,42,0,11,6,0,0,Right,No
11,1905,OF,Jack McCarthy,36,59,187,170,16,47,4,3,0,14,8,0,10,3,0.276,0.32,0.335,0.656,92,57,0,1,5,0,0,Left,No
12,1905,1B,John Barry,26,27,111,104,10,22,2,0,0,10,5,0,5,6,0.212,0.255,0.231,0.485,42,24,0,1,1,0,0,Right,No
13,1905,3B,Hans Lobert,23,14,56,46,7,9,2,0,0,1,4,0,3,6,0.196,0.26,0.239,0.499,46,11,0,1,6,0,0,Right,No
14,1905,P,Ed Reulbach,22,35,113,110,6,14,0,0,0,7,0,0,1,31,0.127,0.135,0.127,0.262,-23,14,0,0,2,0,0,Right,No
15,1905,P,Mordecai Brown,28,31,104,93,6,13,1,1,1,3,1,0,4,20,0.14,0.175,0.204,0.38,11,19,0,0,7,0,0,Right,Yes
16,1905,P,Jake Weimer,31,33,99,92,8,19,1,1,0,6,0,0,4,12,0.207,0.24,0.239,0.479,40,22,0,0,1,0,0,Right,No
17,1905,P,Bob Wicker,28,25,79,72,5,10,0,0,0,3,1,0,4,9,0.139,0.184,0.139,0.323,-5,10,0,0,3,0,0,Right,No
18,1905,P,Carl Lundgren,25,24,71,61,6,11,1,1,0,3,0,0,5,15,0.18,0.242,0.23,0.472,38,14,0,0,2,0,0,Right,No
19,1905,P,Buttons Briggs,29,20,64,57,1,3,0,0,0,1,0,0,4,10,0.053,0.115,0.053,0.167,-50,3,0,0,3,0,0,Right,No
20,1905,P,Big Jeff Pfeffer,23,15,41,40,4,8,3,0,0,3,2,0,0,10,0.2,0.2,0.275,0.475,39,11,0,0,1,0,0,Right,No
1,1904,C,Johnny Kling,28,123,483,452,41,110,18,0,2,46,7,0,16,26,0.243,0.271,0.296,0.567,75,134,0,1,14,0,0,Right,No
2,1904,1B,Frank Chance,27,124,522,451,89,140,16,10,6,49,42,0,36,21,0.31,0.382,0.43,0.812,150,194,0,16,11,0,0,Right,No
3,1904,2B,Johnny Evers,22,152,587,532,49,141,14,7,0,47,26,0,28,22,0.265,0.307,0.318,0.624,93,169,0,4,23,0,0,Left,No
4,1904,SS,Joe Tinker,23,141,536,488,55,108,12,13,3,41,41,0,29,53,0.221,0.268,0.318,0.585,80,155,0,2,12,0,0,Right,No
5,1904,3B,James Casey,34,136,593,548,71,147,20,4,1,43,21,0,18,28,0.268,0.3,0.325,0.625,93,178,0,7,20,0,0,Right,Yes
6,1904,OF,Jack McCarthy,35,115,476,432,36,114,14,2,0,51,14,0,23,17,0.264,0.307,0.306,0.613,89,132,0,4,17,0,0,Left,No
7,1904,OF,Jimmy Slagle,30,120,539,481,73,125,12,10,1,31,28,0,41,33,0.26,0.322,0.333,0.655,102,160,0,3,7,0,0,Left,No
8,1904,OF,Davy Jones,24,98,385,336,44,82,11,5,3,39,14,0,41,22,0.244,0.33,0.333,0.663,105,112,0,2,4,0,0,Left,No
9,1904,UT,John Barry,25,73,295,263,29,69,7,2,1,26,12,0,17,16,0.262,0.31,0.316,0.625,93,83,0,1,9,0,0,Right,No
10,1904,UT,Otto Williams,26,57,206,185,21,37,4,1,0,8,9,0,13,34,0.2,0.256,0.232,0.489,51,43,0,1,7,0,0,Right,No
11,1904,C,Jack O'Neill,31,51,183,168,8,36,5,0,1,19,1,0,6,24,0.214,0.258,0.262,0.52,60,44,0,4,4,0,0,Right,No
12,1904,OF,Harry McChesney,24,22,92,88,9,23,6,2,0,11,2,0,4,17,0.261,0.293,0.375,0.668,106,33,0,0,0,0,0,Right,No
13,1904,OF,Frank Schulte,21,20,89,84,16,24,4,3,2,13,1,0,2,13,0.286,0.31,0.476,0.787,141,40,0,1,0,0,0,Left,No
14,1904,UT,Frank Corridon,23,19,60,58,3,13,1,0,0,1,0,0,1,10,0.224,0.237,0.241,0.479,48,14,0,0,1,0,0,Right,No
15,1904,UT,Aleck Smith?,33,10,32,29,2,6,1,0,0,1,1,0,3,4,0.207,0.281,0.241,0.523,62,7,0,0,0,0,0,Right,No
16,1904,UT,Solly Hofman,21,7,28,26,7,7,0,0,1,4,2,0,1,1,0.269,0.296,0.385,0.681,109,10,0,0,0,0,0,Right,No
17,1904,UT,George Moriarty,18,4,15,13,0,0,0,0,0,0,0,0,1,3,0.0,0.071,0.0,0.071,-77,0,0,0,0,0,0,Right,No
18,1904,OF,Ike Van Zandt,28,3,12,11,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
19,1904,OF,Bill Carney,30,2,8,7,0,0,0,0,0,0,0,0,1,4,0.0,0.125,0.0,0.125,-60,0,0,0,0,0,0,Right,Yes
20,1904,C,Fred Holmes,25,1,4,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,206,2,0,0,0,0,0,Right,No
21,1904,OF,John Rudolph,21,2,4,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,106,1,0,0,0,0,0,Left,No
22,1904,C,Tom Stanton,29,1,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,Yes
23,1904,P,Bob Wicker,27,50,170,155,17,34,1,0,0,9,4,0,4,20,0.219,0.244,0.226,0.47,45,35,0,1,3,0,0,Right,No
24,1904,P,Jake Weimer,30,37,122,115,5,21,3,0,0,11,1,0,1,26,0.183,0.197,0.209,0.405,25,24,0,1,2,0,0,Right,No
25,1904,P,Buttons Briggs,28,34,111,94,6,16,1,0,1,4,0,0,5,26,0.17,0.212,0.213,0.425,31,20,0,0,2,0,0,Right,No
26,1904,P,Carl Lundgren,24,31,97,90,7,20,3,2,0,8,1,0,5,25,0.222,0.263,0.3,0.563,73,27,0,0,2,0,0,Right,No
27,1904,P,Mordecai Brown,27,31,92,89,8,19,3,1,0,8,0,0,2,19,0.213,0.231,0.27,0.5,54,24,0,0,1,0,0,Right,Yes
28,1904,P,Ernie Groth,19,3,6,6,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
1,1903,C,Johnny Kling,27,132,525,491,67,146,29,13,3,68,23,0,22,38,0.297,0.33,0.428,0.758,118,210,0,2,9,0,0,Right,No
2,1903,1B,Frank Chance,26,125,540,441,83,144,24,10,2,81,67,0,78,41,0.327,0.439,0.44,0.878,154,194,0,10,2,0,0,Right,No
3,1903,2B,Johnny Evers,21,124,498,464,70,136,27,7,0,52,25,0,19,27,0.293,0.325,0.381,0.707,103,177,0,3,11,0,0,Left,No
4,1903,SS,Joe Tinker,22,124,515,460,67,134,21,7,2,70,27,0,37,57,0.291,0.345,0.38,0.726,109,175,0,1,13,0,0,Right,No
5,1903,3B,James Casey,33,112,477,435,56,126,8,3,1,40,11,0,19,17,0.29,0.324,0.329,0.653,88,143,0,3,20,0,0,Right,Yes
6,1903,OF,Jimmy Slagle,29,139,650,543,104,162,20,6,0,44,33,0,81,36,0.298,0.393,0.357,0.751,117,194,0,4,15,0,0,Left,No
7,1903,OF,Davy Jones,23,130,568,497,64,140,18,3,1,62,15,0,53,44,0.282,0.352,0.336,0.688,99,167,0,1,8,0,0,Left,No
8,1903,OF,Dick Harley,30,104,457,386,72,89,9,1,0,33,27,0,45,49,0.231,0.328,0.259,0.587,70,100,0,11,15,0,0,Left,No
9,1903,SS,Otto Williams,25,38,136,130,14,29,5,0,0,13,8,0,4,22,0.223,0.246,0.262,0.508,46,34,0,0,2,0,0,Right,No
10,1903,2B,Bobby Lowe,37,32,118,105,14,28,5,3,0,15,5,0,4,6,0.267,0.319,0.371,0.69,99,39,0,4,3,0,0,Right,No
11,1903,OF,Jack McCarthy,34,24,107,101,11,28,5,0,0,14,8,0,4,3,0.277,0.305,0.327,0.631,82,33,0,0,2,0,0,Left,No
12,1903,UT,Tommy Raub,32,36,92,84,6,19,3,2,0,7,3,0,5,12,0.226,0.278,0.31,0.587,69,26,0,1,2,0,0,Right,No
13,1903,OF,John Dobbs,28,16,73,61,8,14,1,1,0,4,0,0,7,5,0.23,0.329,0.279,0.607,76,17,0,2,3,0,0,Left,No
14,1903,1B,Bill Hanlon,27,8,30,21,4,2,0,0,0,2,1,0,6,6,0.095,0.296,0.095,0.392,15,2,0,0,3,0,0,Right,No
15,1903,UT,Jim Cook,23,8,29,26,3,4,1,0,0,2,1,0,2,7,0.154,0.241,0.192,0.434,26,5,0,1,0,0,0,Right,No
16,1903,3B,George Moriarty,17,1,5,5,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
17,1903,C,Larry McLean,21,1,5,4,0,0,0,0,0,1,0,0,1,0,0.0,0.2,0.0,0.2,-41,0,0,0,0,0,0,Right,No
18,1903,P,Jack Taylor,29,40,139,126,13,28,3,4,0,17,3,0,6,13,0.222,0.263,0.31,0.573,65,39,0,1,3,0,0,Right,No
19,1903,P,Jake Weimer,29,35,118,107,10,21,4,0,0,6,0,0,9,30,0.196,0.265,0.234,0.499,44,25,0,1,1,0,0,Right,No
20,1903,P,Bob Wicker,26,32,108,98,18,24,5,2,0,8,1,0,4,10,0.245,0.295,0.337,0.632,82,33,0,3,1,0,0,Right,No
21,1903,P,Carl Lundgren,23,27,76,61,6,7,0,0,0,3,1,0,11,16,0.115,0.25,0.115,0.365,6,7,0,0,3,0,0,Right,No
22,1903,P,John Menefee,35,22,69,64,3,13,3,0,0,2,0,0,3,10,0.203,0.239,0.25,0.489,41,16,0,0,2,0,0,Right,No
23,1903,P,Clarence Currie,24,6,13,12,1,5,0,0,0,3,0,0,1,3,0.417,0.462,0.417,0.878,154,5,0,0,0,0,0,Right,No
24,1903,P,Alex Hardy,26,3,8,6,0,1,0,0,0,1,0,0,1,1,0.167,0.375,0.167,0.542,58,1,0,1,0,0,0,Right,No
25,1903,P,Pop Williams,29,2,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.333,0.0,0.333,-1,0,0,1,0,0,0,Left,No
26,1903,P,Peaches Graham,26,1,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
27,1903,P,Jack Doscher,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No
1,1902,C,Johnny Kling,26,115,477,436,50,126,19,3,0,59,25,0,29,26,0.289,0.333,0.346,0.68,114,151,0,0,12,0,0,Right,No
2,1902,1B,Frank Chance,25,76,290,242,40,70,9,4,1,31,29,0,37,23,0.289,0.401,0.372,0.773,143,90,0,8,2,0,0,Right,No
3,1902,2B,Bobby Lowe,36,121,506,480,44,119,13,3,0,35,17,0,12,28,0.248,0.274,0.288,0.561,76,138,0,5,9,0,0,Right,No
4,1902,SS,Joe Tinker,21,133,545,501,55,132,19,5,2,55,27,0,26,61,0.263,0.3,0.333,0.633,99,167,0,0,18,0,0,Right,No
5,1902,3B,Germany Schaefer,26,81,323,291,32,57,2,3,0,14,12,0,19,47,0.196,0.25,0.223,0.473,49,65,0,2,11,0,0,Right,No
6,1902,OF,John Dobbs,27,59,263,235,31,71,8,2,0,35,3,0,18,9,0.302,0.352,0.353,0.705,122,83,0,0,10,0,0,Left,No
7,1902,OF,Jimmy Slagle,28,117,523,463,66,146,11,4,0,28,41,0,53,45,0.315,0.386,0.356,0.742,133,165,0,0,7,0,0,Left,No
8,1902,OF,Davy Jones,22,64,295,243,41,74,12,3,0,14,12,0,38,37,0.305,0.399,0.379,0.777,145,92,0,0,14,0,0,Left,No
9,1902,CI,Charlie Dexter,26,71,314,273,31,62,13,0,2,26,13,0,19,19,0.227,0.29,0.297,0.586,84,81,0,5,17,0,0,Right,No
10,1902,UT,John Menefee,34,65,253,216,24,50,4,1,0,15,4,0,15,32,0.231,0.303,0.259,0.562,77,56,0,7,14,0,0,Right,No
11,1902,OF,Dusty Miller,25,51,208,187,17,46,4,1,0,13,10,0,7,25,0.246,0.299,0.278,0.577,81,52,0,7,6,0,0,Left,No
12,1902,OF,Bunk Congalton,27,47,199,188,16,45,3,0,1,27,4,0,7,22,0.239,0.267,0.271,0.538,69,51,0,0,4,0,0,Left,No
13,1902,UT,Art Williams?,24,49,191,167,20,38,3,0,0,14,9,0,17,32,0.228,0.31,0.246,0.556,75,41,0,3,4,0,0,Right,No
14,1902,1B,Hal O'Hagan?,32,33,131,115,11,22,1,3,0,10,9,0,11,16,0.191,0.262,0.252,0.514,62,29,0,0,5,0,0,Right,No
15,1902,2B,Johnny Evers,20,26,99,90,7,20,0,0,0,2,1,0,3,9,0.222,0.263,0.222,0.485,53,20,0,2,3,0,0,Left,No
16,1902,OF,Jim Murray,24,12,50,47,3,8,0,0,0,1,0,0,2,18,0.17,0.204,0.17,0.374,18,8,0,0,1,0,0,Right,No
17,1902,1B,Dad Clark,28,12,48,43,1,8,1,0,0,2,1,0,4,5,0.186,0.255,0.209,0.465,46,9,0,0,1,0,0,Left,No
18,1902,UT,Larry Schlafly,23,10,37,31,5,10,0,3,0,5,2,0,6,6,0.323,0.432,0.516,0.949,198,16,0,0,0,0,0,Right,No
19,1902,OF,Mike Lynch?,26,7,31,28,4,4,0,0,0,0,0,0,2,3,0.143,0.2,0.143,0.343,8,4,0,0,1,0,0,Right,No
20,1902,UT,Mike Kahoe,28,7,19,18,0,4,1,0,0,2,0,0,0,4,0.222,0.222,0.278,0.5,57,5,0,0,1,0,0,Right,No
21,1902,SS,Mike Jacob?,26,5,19,19,1,4,0,0,0,2,0,0,0,2,0.211,0.211,0.211,0.421,32,4,0,0,0,0,0,Right,No
22,1902,IF,Sammy Strang,25,3,11,11,1,4,0,0,0,0,1,0,0,1,0.364,0.364,0.364,0.727,129,4,0,0,0,0,0,Right,Yes
23,1902,C,Pete Lamer?,28,2,9,9,2,2,0,0,0,0,0,0,0,1,0.222,0.222,0.222,0.444,40,2,0,0,0,0,0,Right,No
24,1902,OF,Jack Hendricks,27,2,8,7,0,4,0,1,0,0,0,0,0,0,0.571,0.571,0.857,1.429,348,6,0,0,1,0,0,Left,No
25,1902,SS,Ed Glenn,26,2,8,7,0,0,0,0,0,0,0,0,1,2,0.0,0.125,0.0,0.125,-60,0,0,0,0,0,0,Right,No
26,1902,OF,Chick Pedroes?,32,2,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
27,1902,OF,Sherman Kennedy,23,1,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,Yes
28,1902,OF,Hillebrand?,0,1,5,4,1,0,0,0,0,0,0,0,1,0,0.0,0.2,0.0,0.2,-37,0,0,0,0,0,0,Right,No
29,1902,OF,Joe Hughes,22,1,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No
30,1902,P,Jack Taylor,28,56,207,189,18,44,6,1,0,18,6,0,8,23,0.233,0.268,0.275,0.543,71,52,0,1,9,0,0,Right,No
31,1902,P,Pop Williams,28,39,137,120,14,25,2,2,0,13,0,0,11,13,0.208,0.291,0.258,0.549,73,31,0,3,3,0,0,Left,No
32,1902,P,Carl Lundgren,22,20,72,66,2,7,1,0,0,5,2,0,2,24,0.106,0.132,0.121,0.254,-20,8,0,0,2,0,0,Right,No
33,1902,P,Bob Rhoads,22,16,47,45,0,10,0,0,0,2,1,0,2,15,0.222,0.255,0.222,0.478,50,10,0,0,0,0,0,Right,No
34,1902,P,Jim St. Vrain,31,12,35,31,2,3,0,0,0,0,0,0,2,6,0.097,0.176,0.097,0.273,-14,3,0,1,0,0,0,Right,No
35,1902,P,Frank Morrissey?,26,7,25,22,1,2,0,0,0,0,0,0,3,3,0.091,0.2,0.091,0.291,-8,2,0,0,0,0,0,Right,No
36,1902,P,Alex Hardy,25,4,16,14,3,3,1,0,0,4,0,0,1,2,0.214,0.267,0.286,0.552,74,4,0,0,0,0,0,Right,No
37,1902,P,Jim Gardner?,28,3,11,10,0,2,0,0,0,2,0,0,1,3,0.2,0.273,0.2,0.473,49,2,0,0,0,0,0,Right,No
38,1902,P,Mal Eason,23,2,7,5,0,1,0,0,0,0,0,0,1,1,0.2,0.333,0.2,0.533,68,1,0,0,1,0,0,Right,No
39,1902,P,Fred Glade,26,1,3,3,0,1,0,1,0,0,0,0,0,0,0.333,0.333,1.0,1.333,318,3,0,0,0,0,0,Right,No
1,1901,C,Johnny Kling,25,74,269,256,26,70,6,3,0,21,8,0,9,18,0.273,0.301,0.32,0.621,83,82,0,1,3,0,0,Right,No
2,1901,1B,Jack Doyle,31,75,299,285,21,66,9,2,0,39,8,0,7,13,0.232,0.263,0.277,0.54,59,79,0,5,2,0,0,Right,No
